question,faithfulness,answer_relevancy,context_precision
Were Scott Derrickson and Ed Wood of the same nationality?,1.0,0.42120506673357805,0.0
What government position was held by the woman who portrayed Corliss Archer in the film Kiss and Tell?,0.5,0.802197486229901,0.0
"What science fantasy young adult series, told in first person, has a set of companion books narrating the stories of enslaved worlds and alien species?",0.6666666666666666,0.5579016478547777,0.99999999995
Are the Laleli Mosque and Esma Sultan Mansion located in the same neighborhood?,1.0,0.8074714300984606,0.0
"The director of the romantic comedy ""Big Stone Gap"" is based in what New York city?",1.0,0.6287597921694927,0.49999999995
2014 S/S is the debut album of a South Korean boy group that was formed by who?,1.0,0.7559359163050656,0.99999999995
Who was known by his stage name Aladin and helped organizations improve their performance as a consultant?,0.5,0.46262245162425103,0.9999999999
The arena where the Lewiston Maineiacs played their home games can seat how many people?,1.0,0.6902961479097588,0.99999999995
"Who is older, Annie Morton or Terry Richardson?",1.0,0.9272085055008326,0.9999999999
Are Local H and For Against both from the United States?,1.0,0.6473221008763982,0.9999999999666667
"What is the name of the fight song of the university whose main campus is in Lawrence, Kansas and whose branch campuses are in the Kansas City metropolitan area?",1.0,0.8735967657865039,0.9166666666361111
"What screenwriter with credits for ""Evolution"" co-wrote a film starring Nicolas Cage and Téa Leoni?",1.0,0.8109494483540862,0.99999999995
What year did Guns N Roses perform a promo for a movie starring Arnold Schwarzenegger as a former New York Police detective?,0.75,0.5501863039697964,0.99999999995
Are Random House Tower and 888 7th Avenue both used for real estate?,0.75,0.729214019030738,0.0
The football manager who recruited David Beckham managed Manchester United during what timeframe?,1.0,0.7497078936798068,0.9999999999
Brown State Fishing Lake is in a country that has a population of how many inhabitants ?,0.3333333333333333,0.9754129787773199,0.0
The Vermont Catamounts men's soccer team currently competes in a conference that was formerly known as what from 1988 to 1996?,1.0,,0.5833333333041666
Are Giuseppe Verdi and Ambroise Thomas both Opera composers ?,1.0,0.4619573102302665,0.49999999995
Roger O. Egeberg was Assistant Secretary for Health and Scientific Affairs during the administration of a president that served during what years?,1.0,0.7122831054393207,0.8055555555287036
"Which writer was from England, Henry Roth or Robert Erskine Childers?",0.5,0.7615582822207628,0.5333333333155555
Which other Mexican Formula One race car driver has held the podium besides the Force India driver born in 1990?,0.8,0.707516431443015,0.0
This singer of A Rather Blustery Day also voiced what hedgehog?,0.5,0.8332057458231055,0.499999999975
"Aside from the Apple Remote, what other device can control the program Apple Remote was originally designed to interact with?",1.0,0.530726456407078,0.4166666666458333
"Which performance act has a higher instrument to person ratio, Badly Drawn Boy or Wolf Alice? ",0.75,0.7493134283018597,0.0
What was the father of Kasper Schmeichel voted to be by the IFFHS in 1992?,1.0,0.7465045883212172,0.99999999995
Who was the writer of These Boots Are Made for Walkin' and who died in 2007?,1.0,0.8741222565098453,0.0
"The 2011–12 VCU Rams men's basketball team, led by third year head coach Shaka Smart, represented Virginia Commonwealth University which was founded in what year?",0.6666666666666666,0.7410546285427078,0.49999999995
"Are both Dictyosperma, and Huernia described as a genus?",0.75,0.8941033512938651,0.0
Kaiser Ventures corporation was founded by an American industrialist who became known as the father of modern American shipbuilding?,0.0,0.7981594599621871,0.9999999999666667
"What is the name for the adventure in ""Tunnels and Trolls"", a game designed by Ken St. Andre?",1.0,0.3994721116610764,0.5333333333155555
"When was Poison's album ""Shut Up, Make Love"" released?",1.0,0.7252276402927732,0.99999999995
"Hayden is a singer-songwriter from Canada, but where does Buck-Tick hail from?",0.5,0.7152183788671259,0.49999999995
Which  French ace pilot and adventurer fly L'Oiseau Blanc,1.0,0.8675711866389387,0.8055555555287036
Are Freakonomics and In the Realm of the Hackers both American documentaries?,0.6666666666666666,0.9002975152495982,0.99999999995
"Which band, Letters to Cleo or Screaming Trees, had more members?",0.0,0.7503744154588855,0.49999999995
Alexander Kerensky was defeated and destroyed by the Bolsheviks in the course of a civil war that ended when ?,0.3333333333333333,0.7737932652333713,0.3333333333
Seven Brief Lessons on Physics was written by an Italian physicist that has worked in France since what year?,0.6666666666666666,0.4929760835214605,0.49999999995
"The Livesey Hal War Memorial commemorates the fallen of which war, that had over 60 million casualties?",0.25,0.774969680456396,0.49999999995
Are both Elko Regional Airport and Gerald R. Ford International Airport located in Michigan?,,0.6182384391572292,0.0
Ralph Hefferline was a psychology professor at a university that is located in what city?,1.0,0.7702000787131089,0.8333333332916666
Which dog's ancestors include Gordon and Irish Setters: the Manchester Terrier or the Scotch Collie?,0.5,0.7336802306625271,0.9999999999
Where is the company that Sachin Warrier worked for as a software engineer headquartered? ,1.0,0.9620615911966799,0.49999999995
"A Japanese manga series based on a 16 year old high school student Ichitaka Seto, is written and illustrated by someone born in what year?",0.3333333333333333,0.0,0.4499999999775
The battle in which Giuseppe Arimondi lost his life secured what for Ethiopia?,1.0,0.874411054121707,0.499999999975
Alfred Balk served as the secretary of the Committee on the Employment of Minority Groups in the News Media under which United States Vice President?,1.0,0.7239036033307045,0.9999999999
"A medieval fortress in Dirleton, East Lothian, Scotland borders on the south side of what coastal area?",1.0,0.5330880081957164,0.4499999999775
Who is the writer of this song that was inspired by words on a tombstone and was the first track on the box set Back to Mono?,1.0,,0.99999999995
What type of forum did a former Soviet statesman initiate?,0.25,0.5891274240101495,0.0
Are Ferocactus and Silene both types of plant?,1.0,0.971061470127022,0.0
Which British first-generation jet-powered medium bomber was used in the South West Pacific theatre of World War II?,,0.0,0.9999999999
Which year and which conference was the 14th season for this conference as part of the NCAA Division that the Colorado Buffaloes played in with a record of 2-6 in conference play?,1.0,0.5875877875198127,0.99999999995
In 1991 Euromarché was bought by a chain that operated how any hypermarkets at the end of 2016?,,0.718810730285859,0.49999999995
What race track in the midwest hosts a 500 mile race eavery May?,0.75,0.7670684564917366,0.249999999975
"In what city did the ""Prince of tenors"" star in a film based on an opera by Giacomo Puccini?",0.6666666666666666,0.5567635805566956,0.99999999995
"Ellie Goulding worked with what other writers on her third studio album, Delirium?",1.0,0.9349546316919352,0.94999999997625
Which Australian city founded in 1838 contains a boarding school opened by a Prime Minister of Australia and named after a school in London of the same name.,0.6666666666666666,0.5984805035750921,0.9999999999
D1NZ is a series based on what oversteering technique?,0.3333333333333333,0.7503231482431844,0.99999999995
who is younger Keith Bostic or Jerry Glanville ?,1.0,0.9559292749877456,0.3333333333
"According to the 2001 census, what was the population of the city in which Kirton End is located?",1.0,0.5039281291853083,0.49999999995
Are both Cypress and Ajuga genera?,,0.7983782686816382,0.0
What distinction is held by the former NBA player who was a member of the Charlotte Hornets during their 1992-93 season and was head coach for the WNBA team Charlotte Sting?,0.5,0.5585153056497686,0.9999999999
What is the name of the executive producer of the film that has a score composed by Jerry Goldsmith?,0.3333333333333333,0.6289660252847588,0.0
"Who was born earlier, Emma Bull or Virginia Woolf?",1.0,0.8556797969174369,0.0
What was the Roud Folk Song Index of the nursery rhyme inspiring What Are Little Girls Made Of?,0.5,0.7590142615118535,0.7555555555303703
Scott Parkin has been a vocal critic of Exxonmobil and another corporation that has operations in how many countries ?,1.0,0.6663184345512871,0.49999999995
What WB supernatrual drama series was Jawbreaker star Rose Mcgowan best known for being in?,1.0,,0.8041666666465626
Vince Phillips held a junior welterweight title by an organization recognized by what larger Hall of Fame?,0.6666666666666666,0.6767758694727952,0.99999999995
"What is the name of the singer who's song was released as the lead single from the album ""Confessions"", and that had popular song stuck behind for eight consecutive weeks?",1.0,0.7734035577038313,0.99999999995
who is the younger brother of The episode guest stars of The Hard Easy ,1.0,0.0,0.3333333333
The 2017–18 Wigan Athletic F.C. season will be a year in which the team competes in the league cup known as what for sponsorship reasons?,1.0,0.8396041342416604,0.5833333333041666
"Which of Tara Strong major voice role in animated series is an American animated television series based on the DC Comics fictional superhero team, the ""Teen Titans""?",1.0,0.8533289956788193,0.9999999999666667
