question,condition,faithfulness,answer_relevancy,context_precision
What occupation was shared by David Yates and Pietro Germi?,baseline,0.0,0.0,0.49999999995
"Marcus Wayne Garland spent nine seasons with an American professional baseball team that is based in Baltimore, Maryland, and was one of the AMerican League's original eight charter franchises when the league was established in what year?",baseline,0.75,0.7437712731870468,0.9999999999
The lamp used in many lighthouses is similiar to this type of lamp patented in 1780 by Aimé Argand?,baseline,1.0,0.8434671344437632,0.7499999999625
"The songs from the sountrack to ""When Harry Met Sally"" are performed by a singer that has had how many top 20 US albums?",baseline,1.0,0.6865336758163408,0.7916666666402777
Are Broughtonia and Laeliocattleya both orchids?,baseline,,0.9468885071039853,0.9761904761742063
Where was the world cup hosted that Algeria qualified for the first time into the round of 16?,baseline,0.6666666666666666,0.9442786450262678,0.0
"Which was fought earlier in our nation's history, the Seven Days Battles or the Battle of Manila?",baseline,1.0,0.4876609665702903,0.99999999998
"What retailer in ABQ Uptown is headquarted in Poole, Dorset, United Kingdom?",baseline,0.6666666666666666,0.5354118142596108,0.49999999995
What football club plays in the area between the old tool gates: Brook Bar and Trafford bar?,baseline,1.0,0.6748341174830527,0.8541666666453125
"The song ""Chim Chim Cher-ee"" can be heard  in the ""Mary Poppins"" scene of a Disney ride that debuted in what year?",baseline,1.0,0.7129595370106139,0.3333333333
"Who held the record for the longest service in the Australian Parliament for a woman, and was surpassed by  a former Australian politician who was the 29th Speaker of the House of Representatives?",baseline,1.0,0.8539326456739683,0.0
"Which man who presented the Australia 2022 FIFA World Cup bid was born on October 22, 1930?",baseline,0.5,0.6363144479448191,0.59999999997
What major city is the Faith Lutheran Middle School and High School located by?,baseline,0.25,0.9590044978936137,0.9999999999
What British singer-songwriter hosted the 16th Annual Young Hollywood Awards?,baseline,1.0,0.490217542541794,0.6666666666333333
Who did the Star and Dagger bass player marry?,baseline,1.0,0.0,0.9999999999
"In 2017, what was 3/4th of the organization that also has a Center for Veterinary Medicine as well as part of the U.S. Department of Health and Human Services, spent on?",baseline,1.0,0.6048158430985809,0.8333333332916666
"Which came out first, Dinosaur or McFarland, USA",baseline,1.0,0.3786657149204718,0.9999999999
Both Bishop Carroll Catholic High School and Kapaun Mt. Carmel Catholic High School are located in which city in Kansas?,baseline,1.0,0.9300843639805118,0.99999999995
What was the 58th quadrennial American presidential election held after the 2016 Michigan Democratic primary?,baseline,0.6666666666666666,0.8611613129604384,0.99999999995
This Celtic ruler who was born in AD 43 ruled southeastern Britain prior to conquest by which empire?,baseline,0.25,0.7455953049859486,0.6944444444305555
"What is the name of the detective novelist parent of the author of '""Q"" Is for Quarry'?",baseline,1.0,0.8678824005422773,0.49999999995
What is the birthplace of the Senator who represents the first of 62 districts in the State Senate?,baseline,1.0,0.5641470342482778,0.19999999998
The Memphis Hustle are based in a suburb of a city with a population of what in 2010?,baseline,0.75,0.8197946547223621,0.8755456349096906
"Which songwriting duo composed music for ""La La Land"", and created lyrics for ""A Christmas Story: The Musical""? ",baseline,0.75,0.8262628802475875,0.7999999999866666
"Which of the city at the south of Shelly Beach, New South Wales is a local government area in the Hunter region of New South Wales, Australia?",baseline,0.5,0.5890945444674629,0.4499999999775
Are Bamboo Mañalac and Danny Jones both musicians?,baseline,0.8,0.4120572017013171,0.81666666664625
"Works by Hanna Leena Kristiina Varis are part of a collection in a museum that houses approximately 65,000 what?",baseline,1.0,0.6227109398724539,0.9166666666361111
When was the Western Germanic language spoken from which the small settlement situated on the river Leda opposite Leer derives its name?,baseline,0.75,0.5918106890474614,0.7499999999625
"Born on 6 March 1937, this man was also a citizen of the United Kingdom.",baseline,0.5,0.5060897846660577,0.0
"What country does Hatton Hill and Hatton Castle, Angus have in common?",baseline,1.0,0.9006600002571291,0.99999999995
What podcast was the cheif executive officer of Nerdist Industries a guest on?,baseline,0.75,0.6072546632717518,0.19642857141875
Randall Cunningham II was a multi-sport athlete at the high school located in what Nevada city?,baseline,1.0,0.62516075596028,0.609523809503492
"Which English musician is known for both the songs ""See Yourself"" and ""Withing You Without You""?",baseline,1.0,0.4786966527475068,0.9999999999666667
"Which professional ice hockey position does the Captain of the National Hockey League All-Star Game ""Away Team"" play?",baseline,1.0,0.880915745949807,0.8666666666377778
"What year did the series on CBS, starring the actor who known for his role in ""Rebel Without a Cause,"" air?",baseline,0.0,0.0,0.9999999999
"What season was the character introduced that becomes the main antagonist in the  following season, from the animated television series created by Bryan Konietzko and Michael Dante DiMartino as a sequel to """", which aired from 2005 to 2008? ",baseline,0.75,0.6450140965665688,0.766666666641111
"Who were the directors of the 2009 American science fiction film starring the actor who played Dexter Morgan in the Showtime TV Network series ""Dexter""?",baseline,1.0,0.7548072564005075,0.3333333333
"Which travel parody series featured American actor, comedian, and radio host best known as the host of ""The Joe Schmo Show""?",baseline,0.6,0.4278353732462883,0.46666666665111106
Do The Importance of Being Icelandic and The Five Obstructions belong to different film genres ?,baseline,,0.670976632226168,0.9999999999
Tefik Selim Mborja was a part of a party that held power in Albania until what year? ,baseline,1.0,0.6965891121021212,0.3333333333
Joe Walker played for which team that ends their regular season with the Civil War rivalry game?,baseline,1.0,0.5205448449906158,0.6666666666333333
"What station broadcast the episode ""Marry Me a Little, Marry Me a Little More"" , of the series created by Max Mutchnick and David Kohan?",baseline,1.0,0.7310595101259878,0.9107142856991072
Georges-Henri Bousquet translated the work of a historian who is of what heritage?,baseline,0.5,0.6099338689795671,0.7499999999625
In which city are the headquarters of the American research and scientific development company where Ravi Sethi worked as computer scientist located?,baseline,0.6666666666666666,0.5979193533865909,0.99999999995
What is the full name of the viral respiratory disease in which Yi Guan's research helped to prevent the outbreak of?,baseline,1.0,0.7189611120716058,0.8095238094968253
Which Kentucky Writers Hall of Fame author has had works published by Dim Gray Bar Press?,baseline,1.0,0.384524504485592,0.99999999995
What director worked with Vikram Bhatt on a film starring actors Rajneesh Duggal and Adah Sharma?,baseline,0.5,0.0,
 Robert Smith founded the multinational company headquartered in what city?,baseline,0.75,0.5275055498044807,0.6666666666333333
What amount was the settlement that the character from the Son of al Quada got in 2017?,baseline,1.0,0.6140053674292196,0.3333333333
"Considered the strongest recorded tropical cyclone, which cyclone had a film made about it in 2007?",baseline,1.0,0.7076177042597912,0.11111111109999999
The 2000 British film Snatch was later adapted into a television series for what streaming service?,baseline,0.0,0.0,0.9999999999
Chris Williams last played for which football club from the National League North?,baseline,1.0,0.811566972237872,0.0
Who designed the hotel that held the IFBB professional bodybuilding competition in September 1991?,baseline,1.0,0.0,0.0
"At the 71st Golden Globe Awards for television in 2013, what achievement did Breaking Bad, police sitcom Brooklyn Nine-Nine and American Hustle attain?",baseline,0.3333333333333333,0.65786142211497,0.9999999999
Which actor does American Beauty and American Beauty have in common?,baseline,1.0,0.7197600228112421,0.9999999999666667
Onika Tanya Maraj is a judge on a television show hosted by whom? ,baseline,0.2,0.5728060346311441,0.11111111109999999
Are Hot Rod and The Memory of Our People both magazines?,baseline,1.0,0.0,0.99999999995
Who was Chamberlain and Colonel of the military staff of The Merrie Monarch?,baseline,1.0,0.7043644474430469,0.9999999999
"Who has written more than 300 papers, Semyon Aranovich Gershgorin or Pavel Alexandrov?",baseline,0.5,0.8096580263134657,0.8333333332916666
Which post DC Extended Universe actress will also play a role in what is intended to be the fifth installment of the DC Extended Universe?,baseline,1.0,0.7294548909453328,0.6805555555328703
Who was the captain of the only battleship to provide gunfire support during the Vietnam War?,baseline,1.0,0.6931923729791126,0.99999999995
"The Polar Bears featuring the voice of Armie Hammer, is also the same voice actor for which character in Cars 3?",baseline,0.5,0.711932398833046,0.99999999995
"Which tower is taller, 712 Fifth Avenue or Manhattan Life Insurance Building?",baseline,1.0,0.7841844127987119,0.49999999995
"Is the Pakistan fast bowler who joined the Kent County Cricket Club in June, 2011 a left-hand or right-hand batsmans?",baseline,0.5,0.5566361261465417,0.0
"Who was born first, Arthur Conan Doyle or Penelope Lively?",baseline,0.5,0.9133438778993598,0.3333333333
The Tennessee Volunteers football team plays as a member for a conference in what city?,baseline,0.5,0.8375997769450438,0.9999999999
Ernest Foot was the best friend of the fighter pilot who had how many victories?,baseline,1.0,0.62026906156171,0.0
"From March 631 to April 631, Farrukhzad Khosrau V was the king of an empire that succeeded which empire?",baseline,1.0,0.6307140512542643,0.0
Which suburb is a soap opera featuring a character named Beverly Marshall set in?,baseline,0.6666666666666666,0.0,0.91666666664375
Which country did the Falkland Islands beat in the 2010 Commonwealth games that has eleven administrative divisions?,baseline,0.6666666666666666,0.7490149734981117,0.0
"Which Netflix series ""Unbreakable"" character is Elizabeth Claire Kemper known for playing?",baseline,1.0,0.7380154105597311,0.9111111110928889
"Which television series featured an actor who also performed in ""The Young Ones""?",baseline,1.0,0.4441028720486213,0.4166666666458333
Are both Dafeng District and Dazhou located in the same province?,baseline,0.3333333333333333,0.0,0.9999999999
"In what century did this Native warrior and chief, whose brother Tenskwatawa led the Tippecanoe order of battle, become the primary leader of a large, multi tribal confederacy?",baseline,1.0,0.6993761129557003,0.8333333332916666
What film was written and directed by Joby Harold with music written by Samuel Sim?,baseline,0.6666666666666666,0.5005504688115829,0.8333333332916666
