question,ground_truth,agentic_answer,agentic_contexts,agentic_latency,agentic_n_attempts,agentic_confidence,agentic_low_conf,agentic_used_fallback,faithfulness,answer_relevancy,context_precision
Were Scott Derrickson and Ed Wood of the same nationality?,yes,Both Scott Derrickson and Ed Wood were American filmmakers.,"[""Scott Derrickson\n\nScott Derrickson (born July 16, 1966) is an American director, screenwriter and producer.  He lives in Los Angeles, California.  He is best known for directing horror films such as \""Sinister\"", \""The Exorcism of Emily Rose\"", and \""Deliver Us From Evil\"", as well as the 2016 Marvel Cinematic Universe installment, \""Doctor Strange.\"""", ""Ed Wood (film)\n\nEd Wood is a 1994 American biographical period comedy-drama film directed and produced by Tim Burton, and starring Johnny Depp as cult filmmaker Ed Wood.  The film concerns the period in Wood's life when he made his best-known films as well as his relationship with actor Bela Lugosi, played by Martin Landau.  Sarah Jessica Parker, Patricia Arquette, Jeffrey Jones, Lisa Marie, and Bill Murray are among the supporting cast."", ""Ed Wood\n\nEdward Davis Wood Jr. (October 10, 1924 \u2013 December 10, 1978) was an American filmmaker, actor, writer, producer, and director."", ""Sinister (film)\n\nSinister is a 2012 supernatural horror film directed by Scott Derrickson and written by Derrickson and C. Robert Cargill.  It stars Ethan Hawke as fictional true-crime writer Ellison Oswalt who discovers a box of home movies in his attic that puts his family in danger."", ""Deliver Us from Evil (2014 film)\n\nDeliver Us from Evil is a 2014 American supernatural horror film directed by Scott Derrickson and produced by Jerry Bruckheimer.  The film is officially based on a 2001 non-fiction book entitled \""Beware the Night\"" by Ralph Sarchie and Lisa Collier Cool, and its marketing campaign highlighted that it was \""inspired by actual accounts\"".  The film stars Eric Bana, \u00c9dgar Ram\u00edrez, Sean Harris, Olivia Munn, and Joel McHale in the main roles and was released on July 2, 2014.""]",24.08373949999805,1,0.6799999999999999,False,False,1.0,0.4272998283269525,0.0
What government position was held by the woman who portrayed Corliss Archer in the film Kiss and Tell?,Chief of Protocol,"Shirley Temple Black, who portrayed Corliss Archer in the film Kiss and Tell, served as United States ambassador to Ghana.","[""Kiss and Tell (1945 film)\n\nKiss and Tell is a 1945 American comedy film starring then 17-year-old Shirley Temple as Corliss Archer.  In the film, two teenage girls cause their respective parents much concern when they start to become interested in boys.  The parents' bickering about which girl is the worse influence causes more problems than it solves."", ""A Kiss for Corliss\n\nA Kiss for Corliss is a 1949 American comedy film directed by Richard Wallace and written by Howard Dimsdale.  It stars Shirley Temple in her final starring role as well as her final film appearance.  It is a sequel to the 1945 film \""Kiss and Tell\"".  \""A Kiss for Corliss\"" was retitled \""Almost a Bride\"" before release and this title appears in the title sequence.  The film was released on November 25, 1949, by United Artists."", ""Hannah Gale\n\nHannah \""Annie\"" Elizabeth Rolinson Gale (December 29, 1876 \u2013 August 7, 1970) was a British-born Canadian politician who was the first woman to hold an elected political position in Canada."", ""Shirley Temple\n\nShirley Temple Black (April 23, 1928 \u2013 February 10, 2014) was an American actress, singer, dancer, businesswoman, and diplomat who was Hollywood's number one box-office draw as a child actress from 1935 to 1938.  As an adult, she was named United States ambassador to Ghana and to Czechoslovakia and also served as Chief of Protocol of the United States."", ""Gerald Ford\n\nGerald Rudolph Ford Jr. (born Leslie Lynch King Jr.; July 14, 1913\u00a0\u2013 December 26, 2006) was an American politician who served as the 38th President of the United States from August 1974 to January 1977, following the resignation of Richard Nixon.  Prior to this he served eight months as the 40th Vice President of the United States, following the resignation of Spiro Agnew.  He was the first person appointed to the vice presidency under the terms of the 25th Amendment, and consequently the only person to have served as both Vice President and President of the United States without being elected to executive office.  Before his appointment to the vice presidency, Ford served 25 years as U.S. Representative from Michigan's 5th congressional district, the final nine of them as the House Minority Leader.""]",43.89496030000009,3,0.4,True,False,0.5,0.802197486229901,0.0
"What science fantasy young adult series, told in first person, has a set of companion books narrating the stories of enslaved worlds and alien species?",Animorphs,"The Animorphs series is a science fantasy young adult series, told in first person, with a set of companion books, including ""The Hork-Bajir Chronicles"", that narrate the stories of enslaved worlds and alien species.","[""Animorphs\n\nAnimorphs is a science fantasy series of young adult books written by Katherine Applegate and her husband Michael Grant, writing together under the name K. A. Applegate, and published by Scholastic.  It is told in first person, with all six main characters taking turns narrating the books through their own perspectives.  Horror, war, dehumanization, sanity, morality, innocence, leadership, freedom and growing up are the core themes of the series."", ""The Hork-Bajir Chronicles\n\nThe Hork-Bajir Chronicles is the second companion book to the \""Animorphs\"" series, written by K. A. Applegate.  With respect to continuity within the series, it takes place before book #23, \""The Pretender\"", although the events told in the story occur between the time of \""The Ellimist Chronicles\"" and \""The Andalite Chronicles\"".  The book is introduced by Tobias, who flies to the valley of the free Hork-Bajir, where Jara Hamee tells him the story of how the Yeerks enslaved the Hork-Bajir, and how Aldrea, an Andalite, and her companion, Dak Hamee, a Hork-Bajir, tried to save their world from the invasion.  Jara Hamee's story is narrated from the points of view of Aldrea, Dak Hamee, and Esplin 9466, alternating in similar fashion to the \""Megamorphs\"" books."", ""Victoria Hanley\n\nVictoria Hanley is an American young adult fantasy novelist.  Her first three books, \""The Seer And The Sword\"", \""The Healer's Keep\"" and \""The Light Of The Oracle\"" are companion books to one another.  Her newest book (released March 2012) is the sequel of a series, called \""Indigo Magic\"", published by Egmont USA.  She's also published two non-fiction books through Cotton Wood Press; called \""Seize the Story: A Handbook For Teens Who Like To Write\"", and \""Wild Ink: A Grownups Guide To Writing Fiction For Teens\""."", ""Etiquette &amp; Espionage\n\nEtiquette & Espionage is a young adult steampunk novel by Gail Carriger.  It is her first young adult novel, and is set in the same universe as her bestselling Parasol Protectorate adult series."", ""Stargate SG-1\n\nStargate SG-1 (often abbreviated as SG-1) is an adventure and military science fiction television series and part of Metro-Goldwyn-Mayer's \""Stargate\"" franchise.  The show, created by Brad Wright and Jonathan Glassner, is based on the 1994 science fiction film \""Stargate\"" by Dean Devlin and Roland Emmerich.  The television series was filmed in and around the city of Vancouver, British Columbia, Canada.  The series premiered on Showtime on July 27, 1997 and moved to the Sci Fi Channel on June 7, 2002; the final episode first aired on Sky1 on March 13, 2007.  With 214 episodes over ten seasons, \""Stargate SG-1\"" had surpassed \""The X-Files\"" as the longest-running North American science fiction television series, until it was surpassed by the series \""Smallville\"" in 2011.""]",45.45259380000061,3,0.38,True,False,0.6666666666666666,0.5640899549158278,0.99999999995
Are the Laleli Mosque and Esma Sultan Mansion located in the same neighborhood?,no,Based on partial evidence: The Esma Sultan Mansion is located in the Ortaköy neighborhood of Istanbul.,"[""Esma Sultan Mansion\n\nThe Esma Sultan Mansion (Turkish: \""Esma Sultan Yal\u0131s\u0131\"" ), a historical yal\u0131 (English: waterside mansion ) located at Bosphorus in Ortak\u00f6y neighborhood of Istanbul, Turkey and named after its original owner Esma Sultan, is used today as a cultural center after being redeveloped."", ""Laleli Mosque\n\nThe Laleli Mosque (Turkish: \""Laleli Camii, or Tulip Mosque\"" ) is an 18th-century Ottoman imperial mosque located in Laleli, Fatih, Istanbul, Turkey."", ""Esma Sultan\n\nEsma Sultan is the name of three daughters of three Ottoman Sultans:"", ""Esma Sultan (daughter of Ahmed III)\n\nEsma Sultan (14 March 1726 \u2013 13 August 1788) was an Ottoman princess, daughter of Sultan Ahmed III and his consort Zeynep Kad\u0131n.  She was the half-sister of Sultan Mustafa III and Abdul Hamid I."", ""Esma Sultan (daughter of Abd\u00fclaziz)\n\nEsma Sultan (21 March 1873 \u2013 7 May 1899) was an Ottoman princess, the daughter of Sultan Abd\u00fclaziz and his wife Gevheri Kad\u0131n, herself the daughter of Salih Bey Svatnba.  She was the half-sister of Abd\u00fclmecid II, the last Caliph of the Muslim world.""]",46.54200979999587,3,0.3,True,True,1.0,0.8074714300984606,0.0
"The director of the romantic comedy ""Big Stone Gap"" is based in what New York city?","Greenwich Village, New York City","The director of the romantic comedy ""Big Stone Gap"", Adriana Trigiani, is based in Greenwich Village, New York City.","[""Big Stone Gap (film)\n\nBig Stone Gap is a 2014 American drama romantic comedy film written and directed by Adriana Trigiani and produced by Donna Gigliotti for Altar Identity Studios, a subsidiary of Media Society.  Based on Trigiani's 2000 best-selling novel of the same name, the story is set in the actual Virginia town of Big Stone Gap circa 1970s.  The film had its world premiere at the Virginia Film Festival on November 6, 2014."", ""Adriana Trigiani\n\nAdriana Trigiani is an Italian American best-selling author of sixteen books, television writer, film director, and entrepreneur based in Greenwich Village, New York City.  Trigiani has published a novel a year since 2000."", ""I Love NY (2015 film)\n\nI Love NY, also known as I Love New Year, is an Indian romantic comedy film directed by Radhika Rao and Vinay Sapru starring Sunny Deol and Kangana Ranaut in lead roles.  The film is produced by Bhushan Kumar and Krishan Kumar under the banner of Super Cassettes Industries Ltd.  The film was extensively shot in Mumbai, New York City and Bangkok.  The main plot was taken from the Russian romantic comedy \""The Irony of Fate\"" (1976).  After numerous delays, the film released on 10 July 2015."", ""The Spiderwick Chronicles (film)\n\nThe Spiderwick Chronicles is a 2008 American fantasy adventure film based on the bestselling book series of the same name by Holly Black and Tony DiTerlizzi.  It was directed by Mark Waters and stars Freddie Highmore, Sarah Bolger, Mary-Louise Parker, Martin Short, Nick Nolte, and Seth Rogen.  Set in the Spiderwick Estate in New England, it follows the adventures of Jared Grace and his family as they discover a field guide to faeries, battle goblins, mole trolls and other magical creatures."", ""Meg Ryan\n\nMeg Ryan (born Margaret Mary Emily Anne Hyra; November 19, 1961) is an American actress, director, and producer.  Ryan began her acting career in 1981 in minor roles, before joining the cast of the CBS soap opera \""As the World Turns\"" in 1982.  Subsequently, she began to appear in supporting roles in films during the mid-1980s, achieving recognition in independent movies such as \""Promised Land\"" (1988) before her performance in the Rob Reiner-directed romantic comedy \""When Harry Met Sally...\"" (1989) brought her widespread attention and her first Golden Globe nomination.""]",39.26982979999593,2,0.5,False,False,1.0,0.7816401174314179,0.49999999995
2014 S/S is the debut album of a South Korean boy group that was formed by who?,YG Entertainment,Based on partial evidence: 2014 S/S is the debut album of a South Korean boy group that was formed by YG Entertainment.,"[""2014 S/S\n\n2014 S/S is the debut album of South Korean group WINNER.  It was released on August 12, 2014 by the group's record label, YG Entertainment.  The members were credited for writing the lyrics and composing the majority of the album's songs."", ""Winner (band)\n\nWinner (Hangul: \uc704\ub108), often stylized as WINNER, is a South Korean boy group formed in 2013 by YG Entertainment and debuted in 2014.  It currently consists of four members, Jinwoo, Seunghoon, Mino and Seungyoon.  Originally a five-piece group with Taehyun, who later departed from the group in November 2016."", ""Madtown\n\nMadtown (Hangul:\u00a0\ub9e4\ub4dc\ud0c0\uc6b4 ), often stylized as MADTOWN, is a South Korean boy group formed in 2014 by J. Tune Camp.  The group consists of Moos, Daewon, Lee Geon, Jota, Heo Jun, Buffy and H.O.  Their debut album, \""Mad Town\"", was released on October 6, 2014.  Two of the members, Moos and Buffy, originally debuted as the hip hop duo \""Pro C\"" in 2013.  Madtown's official fan-base name is Mad-people.  Starting December 22, 2016, MADTOWN's contract was sold to GNI Entertainment after J. Tune Camp closed."", ""SF9 (band)\n\nSF9 (Korean: \uc5d0\uc2a4\uc5d0\ud504\ub098\uc778 ; shortened from Sensational Feeling 9) is a South Korean boy group formed by FNC Entertainment.  SF9 is the company's first dance boy group to ever debut.  SF9 debuted on October 5, 2016 with the release of their first single album \""Feeling Sensation\""."", ""History (band)\n\nHistory (Korean: \ud788\uc2a4\ud1a0\ub9ac ) was a South Korean boy group formed by LOEN Entertainment in 2013.  They debuted on April 26, 2013 with \""Dreamer\"", featuring the narration of their labelmate IU.  They were LOEN Entertainment's first boy group.  They officially disbanded on May 12, 2017.""]",47.92249090000405,3,0.4,True,True,1.0,0.7559359163050656,0.99999999995
Who was known by his stage name Aladin and helped organizations improve their performance as a consultant?,Eenasul Fateh,Eenasul Fateh is the person who was known by his stage name Aladin.,"[""Eenasul Fateh\n\nEenasul Fateh (Bengali: \u0988\u09a8\u09be\u09b8\u09c1\u09b2 \u09ab\u09be\u09a4\u09c7\u09b9 ; born 3 April 1959), also known by his stage name Aladin, is a Bangladeshi-British cultural practitioner, magician, live artist and former international management consultant."", ""Management consulting\n\nManagement consulting is the practice of helping organizations to improve their performance, operating primarily through the analysis of existing organizational problems and the development of plans for improvement.  Organizations may draw upon the services of management consultants for a number of reasons, including gaining external (and presumably objective) advice and access to the consultants' specialized expertise."", ""Alex Ferguson\n\nSir Alexander Chapman Ferguson, CBE (born 31 December 1941) is a Scottish former football manager and player who managed Manchester United from 1986 to 2013.  He is regarded by many players, managers and analysts to be one of the greatest and most successful managers of all time."", ""Warren Buffett\n\nWarren Edward Buffett ( ; born August 30, 1930) is an American business magnate, investor, and philanthropist.  Buffett serves as the Chief Executive Officer and Chairman of Berkshire Hathaway.  He is considered by some to be one of the most successful investors in the world, and as of August 2017 is the second wealthiest person in the United States, and the fourth wealthiest in the world, with a total net worth of $76.9 billion."", ""Janet Jackson\n\nJanet Damita Jo Jackson (born May 16, 1966) is an American singer, songwriter, dancer and actress.  Known for sonically innovative, socially conscious, and sexually provocative records, elaborate stage shows, and high-profile television and film roles, she has been a prominent figure in popular culture for over 30 years.""]",41.837155399996846,3,0.36,True,False,0.5,0.462622451624251,0.9999999999
The arena where the Lewiston Maineiacs played their home games can seat how many people?,"3,677 seated","The Androscoggin Bank Colisée, which is the arena where the Lewiston Maineiacs played their home games, has a seating capacity of 3,677.","[""Lewiston Maineiacs\n\nThe Lewiston Maineiacs were a junior ice hockey team of the Quebec Major Junior Hockey League based in Lewiston, Maine.  The team played its home games at the Androscoggin Bank Colis\u00e9e.  They were the second QMJHL team in the United States, and the only one to play a full season.  They won the President's Cup in 2007."", ""Androscoggin Bank Colis\u00e9e\n\nThe Androscoggin Bank Colis\u00e9e (formerly Central Maine Civic Center and Lewiston Colisee) is a 4,000 capacity (3,677 seated) multi-purpose arena, in Lewiston, Maine, that opened in 1958.  In 1965 it was the location of the World Heavyweight Title fight during which one of the most famous sports photographs of the century was taken of Muhammed Ali standing over Sonny Liston."", ""Dwyer Arena\n\nThe Robert and Concetta Dwyer Arena houses two ice surfaces, both 200 x 85 ft., and pro shop on Niagara University's campus in Lewiston, New York, United States.  The main rink can seat up to 1,400 people and is the home to the Niagara Purple Eagles men's ice hockey team, which plays in Atlantic Hockey.  The arena was formerly home to the women's ice hockey team, which played in College Hockey America."", ""2007 Memorial Cup\n\nThe 2007 MasterCard Memorial Cup was played in May 2007 in Vancouver, British Columbia, at the Pacific Coliseum.  It was the 89th annual Memorial Cup competition and determined the major junior ice hockey champion of the Canadian Hockey League (CHL).  The tournament was competed between the WHL champion Medicine Hat Tigers, the OHL champion Plymouth Whalers, the QMJHL champion Lewiston Maineiacs, and the host team and tournament champion Vancouver Giants, who were competing in their second consecutive national junior championship.  The Memorial Cup tournament was a four team tournament with a round-robin format.  The Giants won their first Memorial Cup, defeating Medicine Hat 3\u20131 in the second all-WHL final in tournament history (the first was in 1989).  The tournament set a new Memorial Cup attendance record with 121,561 fans attending the nine games.  The previous record of 84,686 was set at the 2003 tournament in Quebec City."", ""2011\u201312 QMJHL season\n\nThe 2011\u201312 QMJHL season was the 43rd season of the Quebec Major Junior Hockey League (QMJHL).  The regular season, which consisted of seventeen teams playing 68 games each, began in September 2011 and ended in March 2012.  This season was Blainville-Boisbriand Armada's first season in the league, as the team relocated to Boisbriand from Verdun where they played as the Montreal Junior Hockey Club from 2008 to 2011.  The league lost one of his charter teams when the Lewiston Maineiacs folded during after the previous season, the QMJHL later announce an expansion team to Sherbrooke for the 2012-2013 season.  In the playoffs, the Saint John Sea Dogs became the seventh team in league history to capture consecutive President's Cup championships.""]",38.91751220000151,3,0.38,True,False,1.0,0.6902961479097588,0.99999999995
"Who is older, Annie Morton or Terry Richardson?",Terry Richardson,"Terry Richardson was born in 1965 and Annie Morton was born in 1970, so Terry Richardson is older than Annie Morton.","[""Annie Morton\n\nAnnie Morton (born October 8, 1970) is an American model born in Pennsylvania.  She has appeared on the covers of \""British Vogue\"", \""ID\"", \""Marie Claire\"", and other magazines.  She has been photographed by Helmut Newton; Peter Lindbergh; Annie Leibovitz; Richard Avedon; Juergen Teller; Paul Jasmin, Mary Ellen Mark and Terry Richardson, and modeled for Donna Karan, Givenchy, Guerlain, Chanel, \""Harper's Bazaar\"", \""Sports Illustrated\"" and Victoria's Secret.  A long time vegetarian, an advocate for organic lifestyle choices and natural healthcare.  She co-founded Tsi-La Organics, a \""Green Luxury\"" company that creates and sells vegan, organic perfume and skin care products."", ""Terry Richardson\n\nTerrence \""Uncle Terry\"" Richardson (born August 14, 1965) is an American fashion and portrait photographer who has shot advertising campaigns for Marc Jacobs, Aldo, Supreme, Sisley, Tom Ford, and Yves Saint Laurent among others.  He has also done work for magazines such as \""Rolling Stone\"", \""GQ\"", \""Vogue\"", \""Vanity Fair\"", \""Harper's Bazaar\"", \""i-D\"", and \""Vice\""."", ""Amanda Lepore\n\nAmanda Lepore (born November 21, 1967) is an American transgender model, celebutante, singer, and performance artist.  The former Club Kid has appeared in advertising for numerous companies.  Lepore is also noted as a regular subject in photographer David LaChapelle's work, serving as his muse, as well as many other photographers, such as Terry Richardson and .  She participated in LaChapelle's \""Artists and Prostitutes 1985\u20132005\"" exhibit in New York City, where she \""lived\"" in a voyeuristic life-sized set.  Lepore has also released several singles, many written by and/or recorded with Cazwell.  In 2011, she released her debut studio album, \""I.. . Amanda Lepore\"", on Peace Bisquit."", ""Kenton Richardson\n\nKenton Terry Richardson (born 26 July 1999) is an English professional footballer who plays as a defender for League Two side Hartlepool United."", ""Lady Gaga x Terry Richardson\n\nLady Gaga x Terry Richardson is a photo-book by American singer Lady Gaga and American photographer Terry Richardson, released on November 22, 2011 by Grand Central Publishing.  The book features more than 350 pictures of Gaga as taken by Richardson during a ten-month period from Gaga's performance at The Monster Ball Tour till the 2011 Grammy Awards.  In addition to photographs, it includes a foreword written by the singer about her relationship with Richardson.  The duo had collaborated on other projects prior to the shooting of the book.""]",35.9979566999973,3,0.38,True,False,1.0,0.9272085055008326,0.9999999999
Are Local H and For Against both from the United States?,yes,"For Against is a United States post-punk/dream pop band from Lincoln, Nebraska, and Local H is an American rock band originally formed in Zion, Illinois.","[""For Against\n\nFor Against is a United States post-punk/dream pop band from Lincoln, Nebraska.  Despite numerous lineup shuffles and some periods of dormancy, the band has produced material steadily from its 1984 inception to the present."", ""Local H\n\nLocal H is an American rock band originally formed by guitarist and vocalist Scott Lucas, bassist Matt Garcia, drummer Joe Daniels, and lead guitarist John Sparkman in Zion, Illinois in 1987.  The members all met in high school in 1987 and founded Local H three years later."", ""Ophur\n\nOphur was a rock band from the Chicago suburbs in DuPage County.  The band performed in the midwestern United States over the course of seven years with national acts including The Plain White T's, Sum 41, Violent Femmes, Local H, Lucky Boys Confusion, Veruca Salt, Two Skinee J's, Duvall, Sleeping at Last, and others.  Their music has been described as an eclectic amalgamation of U2, Red Hot Chili Peppers, and Pink Floyd."", ""Hallelujah! I'm a Bum (album)\n\nHallelujah!  I'm A Bum is the seventh studio album by Chicago-based rock band Local H.  Interviews with the band have revealed that it is a concept album based on politics in the United States.  Although the album was completed in spring of 2012, the band chose to release it in September as to be closer to the 2012 presidential election.  The album makes frequent use of the sounds of the El Train in Chicago to transition songs."", ""Suffrajett\n\nSuffrajett is a United States rock band from New York City, currently based in Chicago, Illinois, composed of singer/violinist Simi Sernaker, guitarist Jason Chasko, bassist Kevin Roberts, and drummer Danny Severson.  Suffrajett has toured with Local H, The Last Vegas, and Bob Schneider, and have opened for the reunited MC5.  Suffrajett released their self-titled debut album on February 2, 2003, and their latest album \""Black Glitter\"" was released on January 1, 2007.  They recently toured with Juliette and the Licks and Scissors for Lefty.""]",35.8674319999991,3,0.4599999999999999,True,False,1.0,0.5045948248619385,0.9999999999666668
