question,condition,faithfulness,answer_relevancy,context_precision
Are the Laleli Mosque and Esma Sultan Mansion located in the same neighborhood?,baseline,0.0,0.0,0.0
What year did Guns N Roses perform a promo for a movie starring Arnold Schwarzenegger as a former New York Police detective?,baseline,0.0,0.0,0.2916666666520833
Are Random House Tower and 888 7th Avenue both used for real estate?,baseline,1.0,0.547440629980215,0.0
Brown State Fishing Lake is in a country that has a population of how many inhabitants ?,baseline,1.0,0.0,0.0
The Vermont Catamounts men's soccer team currently competes in a conference that was formerly known as what from 1988 to 1996?,baseline,0.5,0.5844375017735346,0.3333333333
"Aside from the Apple Remote, what other device can control the program Apple Remote was originally designed to interact with?",baseline,1.0,0.5075359999574943,0.16666666665
"Which performance act has a higher instrument to person ratio, Badly Drawn Boy or Wolf Alice? ",baseline,0.875,0.807478756617383,0.49999999995
Alexander Kerensky was defeated and destroyed by the Bolsheviks in the course of a civil war that ended when ?,baseline,0.0,0.8533351917147005,0.9999999999
Which dog's ancestors include Gordon and Irish Setters: the Manchester Terrier or the Scotch Collie?,baseline,0.0,0.5506462884931081,0.9999999999
Alfred Balk served as the secretary of the Committee on the Employment of Minority Groups in the News Media under which United States Vice President?,baseline,0.0,0.8328018818859014,0.9999999999
What type of forum did a former Soviet statesman initiate?,baseline,1.0,0.6416741059032682,0.249999999975
Which British first-generation jet-powered medium bomber was used in the South West Pacific theatre of World War II?,baseline,0.0,0.6254076361169797,0.9999999999
In 1991 Euromarché was bought by a chain that operated how any hypermarkets at the end of 2016?,baseline,1.0,0.5008072971802485,0.49999999995
What race track in the midwest hosts a 500 mile race eavery May?,baseline,0.5,0.6889764334131682,0.99999999995
who is younger Keith Bostic or Jerry Glanville ?,baseline,1.0,0.9506396319865695,0.9999999999
What was the Roud Folk Song Index of the nursery rhyme inspiring What Are Little Girls Made Of?,baseline,1.0,0.0,0.9999999999
What is the inhabitant of the city where  122nd SS-Standarte was formed in2014,baseline,0.0,0.0,0.0
In which year was the King who made the 1925 Birthday Honours born?,baseline,1.0,0.6360624209178626,0.49999999995
The Album Against the Wind was the 11th Album of a Rock singer Robert C Seger born may 6 1945. What was the Rock singers stage name ?,baseline,1.0,0.6332543171352164,0.99999999995
In which city is the ambassador of the Rabat-Salé-Kénitra administrative region to China based?,baseline,1.0,0.0,0.49999999995
David Huntsinger has worked with this gospel singer born in the month of July?,baseline,1.0,0.7960956399940934,0.8333333332916666
"Based on a True Story... is an album by which country music star, with the single My Eyes?",baseline,1.0,0.5978880290160659,0.99999999995
"Over how many centuries were the ""dwelling place of the dead"" built?",baseline,1.0,0.0,0.3333333333
"When was the British author who wrote the novel on which ""Here We Go Round the Mulberry Bush"" was based born? ",baseline,0.0,0.8470805253557875,0.14285714284285714
Which component of shellite has the formula (ON)CHOH?,baseline,1.0,0.6118501334581107,0.3333333333
Suicide's 1977 released album features a song based on what brand's comic character?,baseline,1.0,0.516568580591981,0.499999999975
Are Daryl Hall and Gerry Marsden both musicians?,baseline,1.0,0.953481325827234,
Mummulgum is a stop on the Bruxner Highway before reaching the town on the banks of which river?,baseline,1.0,0.7545619695305797,0.19999999998
SuperMansion starred the actress who had a recurring role as whom on Workaholics?,baseline,1.0,0.6663791691922362,0.49999999995
The author of Sexual Politics attended which British University?,baseline,0.0,0.0,0.49999999995
Both Truth in Science and Discovery embrace what campaign?,baseline,1.0,0.5669788988804297,0.9999999999
"Who is Bruce Spizer an expert on, known as the most influential act of the rock era?",baseline,1.0,0.6203154721089897,0.9999999999
What occupation was shared by David Yates and Pietro Germi?,baseline,1.0,0.0,0.0
The Memphis Hustle are based in a suburb of a city with a population of what in 2010?,baseline,1.0,0.8246437183040222,0.49999999995
"Which of the city at the south of Shelly Beach, New South Wales is a local government area in the Hunter region of New South Wales, Australia?",baseline,1.0,0.5679671008291622,0.49999999995
