question,condition,faithfulness,answer_relevancy,context_precision
"Are the movies About A Wife, A Dream And Another... and The Doolins Of Oklahoma, from the same country?",baseline,0.0,0.0,0.0
Who is Wisigard's father-in-law?,baseline,1.0,0.5206550558390642,0.0
"Which film has the director who died later, The Death Kiss or Her Luck In London?",baseline,0.6666666666666666,0.0,0.4249999999858333
"Which film has the director who was born first, Hanuman Patal Vijay or Young And Dangerous: The Prequel?",baseline,0.6666666666666666,0.0,0.0
Where was the director of film Aylwin (Film) born?,baseline,0.5,0.0,0.9999999999
What nationality is Prince Napoléon Bonaparte's father?,baseline,0.75,0.9576476679304634,0.14285714284285714
"Who is the paternal grandmother of Renaud Iii, Count Of Soissons?",baseline,1.0,0.953470893400911,0.37499999998125
Where did the director of film Carbon (Film) study?,baseline,0.5,0.0,0.0
Are both Alex Bregman and Francesca Sterlacci from the same country?,baseline,1.0,0.9843412677311495,0.0
Where did M. K. Muthu's father die?,baseline,1.0,0.0,0.49999999995
"Which film was released more recently, Sacred Silence or Ek Haseena Thi Ek Deewana Tha?",baseline,0.5,0.9116085341414916,0.99999999995
"Which film whose director is younger, A Night'S Adventure or Insaciable?",baseline,,0.0,0.0
Who is the father of the director of film The Thousand Faces Of Dunjia?,baseline,,0.0,0.19999999998
Were Gotthilf Heinrich Ernst Muhlenberg and Todd Williams of the same nationality?,baseline,0.3333333333333333,0.0,0.3333333333
"Which film came out first, Stella'S Oorlog or Sampathige Savaal?",baseline,0.6666666666666666,0.7534462529396281,0.4166666666458333
"Do the bands The Gordons (Duo) and Sacred Rite (Band), originate from the same country?",baseline,0.5,0.0,0.16666666665
What is the place of birth of the director of film The Return Of Swamp Thing?,baseline,,0.0,0.14285714284285714
"Where did the director of film Nalini By Day, Nancy By Night graduate from?",baseline,0.5,0.0,0.09999999999
Are director of film Susanna Whipped Cream and director of film Le Salamandre both from the same country?,baseline,0.3333333333333333,0.0,0.0
"Which film has the director born later, Occhio, Malocchio, Prezzemolo E Finocchio or Jailhouse Rock (Film)?",baseline,0.3333333333333333,0.0,0.9060405643638306
"Which film has the director died later, The Life And Loves Of Tschaikovsky or Dokuz Dağın Efesi?",baseline,0.3333333333333333,0.0,0.6666666666333333
"Which film whose director is younger, Outlaw King or Gunman'S Walk?",baseline,0.75,0.8151653115999681,0.0
Was Ausaf Ali or Steven Perry born first?,baseline,1.0,0.8666646934802423,0.0
"Who is younger, Zhang Lifang or Lalengzama Vangchhia?",baseline,0.8,0.8376757157895715,0.9999999999
Who is the maternal grandmother of Flavia Julia Constantia?,baseline,,0.0,0.0
Are the directors of both films Captain Calamity (Film) and Heaven Only Knows (Film) from the same country?,baseline,0.3333333333333333,0.0,0.0
What is the place of birth of the director of film Pages Of Life (Film)?,baseline,0.0,0.0,0.0
"Which film whose director is younger, Hell To Pay (2014 Film) or Darwin'S Nightmare?",baseline,1.0,0.3389571506954712,0.19999999998
What is the date of death of the founder of Suez Canal Company?,baseline,,0.0,0.26785714284375
"Which film was released more recently, Scandal At The Girls' School or One Dangerous Night?",baseline,1.0,0.348855021413802,0.0
What is the date of death of Peter Dale Scott's mother?,baseline,,0.0,0.49999999995
Which award the composer of film Howrah Bridge (Film) earned?,baseline,0.25,0.9294332724739208,0.642857142825
Who is Ieuan Ab Owain Glyndŵr's paternal grandfather?,baseline,0.5,0.0,0.9999999999
"What is the place of birth of Geoffrey Plantagenet, Count Of Anjou's wife?",baseline,1.0,0.0,0.0
Where did the founder of Ford Australia die?,baseline,0.0,0.0,0.0
"When did Thomas Knox, 3Rd Earl Of Ranfurly's father die?",baseline,0.0,0.0,0.0
"Which film has the director died earlier, Crime Against Joe or Vagabonderne På Bakkegården?",baseline,0.3333333333333333,0.0,0.9999999999
"Which film has the director born later, The Fighting Demon or Blood Of The Losers?",baseline,0.8,0.7823847722140589,0.8333333332916666
What is the place of birth of the composer of song Bullet (Misfits Song)?,baseline,,0.0,0.49999999995
"Who is younger, Empress Xiaoshurui or Goran Veselinovski?",baseline,1.0,0.3915001890404108,0.0
"Who lived longer, Friedrich Paschen or Ernst Bessey?",baseline,0.5,0.9392915193554559,0.49999999995
